Conversa / Segunda visita,5j10is2q4cqgjjk56boqaescrs.epk_dec,,Não Checado,HF,,,,,,
Conversa / Primeira visita,49utu7t5a822c5qit33kelm03h.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Sono / Decisão.,3uoaa3cqls3aj3cdb8sol6ib0n.epk_dec,,Não Checado,HF,,,,,,
Escolha: Tirar,20khkagb5sbjpko01pcar2kjgh.epk_dec,,Não Checado,HF,,,,,,
Escolha: Não tirar,6lgkm19t5ne03moio7bp5vvvfs.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Sono / A pergunta da Rider,5vmme2j8v0djnvs3rr5k6251uq.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Desejo sombrio,7h36hac9a90eb1ugvqebe206t7.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Igreja / Fantasma artificial,2aq6cnkef94g8nsm04c2jd7d5s.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Cruzamento ~ Volta para casa / Vírus de lâmina,7b7a3gheklfuqhh8rl4uom61t0.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Sakuralégio,7d0vi0t63oe9dakuk09l3tqi3t.epk_dec,,Não Checado,HF,,,,,,
Dia 10: Jantar / Irmãs (III),5uugi3u5dppot0a9ppmbio9tr5.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Pesadelo (I),6ing820gjn05ujphnlb7c9lioo.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 32,4e8109hgt7he03qjragk73c7bd.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 33,6nbht4042etc72oo32a3gq58s5.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Tarde / Decisão,198d1gpadphmhc1ar13oeiedmv.epk_dec,,Não Checado,HF,,,,,,
Ação / Rin e Illya,66k34tv17qd8ov7876qq67oqgf.epk_dec,,Não Checado,HF,,,,,,
Ação / Garota fofa,239j1to7tn5valvnsbo3n1o1cu.epk_dec,,Não Checado,HF,,,,,,
Ação / Seriedade,7t2nb929haetn5mtme0mh88903.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Cuidando da Sakura / Crepúsculo distante (I),3kcq86b9sjtuk9ua6csc20e9k3.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Acordando - meu quarto / O aviso da Illya,3fg19lem9n6kdp17onkmvgemp4.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Café da manhã / Más notícias,1esjgos8tbhog0ruvcin2nknns.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Após o café da manhã / Próximos passos,5nrsom8tspd7jos90kc3rj1eev.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Manhã - dojo / Palestra de Magia (cirurgia bruta),5phv5ep7bavcpqpe11tdond95g.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Preparando o almoço / Irmãs (IV),368drn74hk0prpgb22r62clrso.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Histeria,1v341hepfmp8o0h72ik8ms3i6v.epk_dec,,Não Checado,HF,,,,,,
"Dia 11: Jantar / Estranheza, presságio",765tgjtu4jd80iummhb5kg8pab.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Noite - patrulha / Rin Tohsaka (III),2cege2jalaial67lcgt1d2bour.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Volta para casa - meu quarto / Selo liberado ~ Prelúdio do colapso,3lluc1llfiqguld60q45af8ave.epk_dec,,Não Checado,HF,,,,,,
Dia 11: Noite - meu quarto / Rachadura,2hr7meblieqfrjd38qolv3l61o.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Pesadelo (II),63kkou554p04ll7d9tl8ua8cor.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Manhã - dojo / Minha determinação,4b1i7mqgf6gch3brtosb4t3gih.epk_dec,,Não Checado,HF,,,,,,
Determinação / Tolo precioso,29e7hiuerhri0p1prvsr8t8okp.epk_dec,,Não Checado,HF,,,,,,
Determinação / O erro da indecisão,3fk238t17sap5055umc9ks7llq.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Manhã - dojo / Início do treinamento,1d69ngd6i6ehfksg4qfea877ic.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Acordando ~ manhã / Vazio,5hi0opnuq1h0t2jhur3lathm7c.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Café da manhã / Illya faz o café da manhã,6otabb2pq47se279q5l48mbd0n.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Irmãs (V),7ep6ic2sffq37f26e9h4ddmka9.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Meio-dia - dojo / Vazio,2gh39jrkegkr5d1i5hc41q9i54.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Distrito comercial / Lorelei,2gq1db82cm882ohkjcql6slu78.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Jantar ~ Noite / Memória perdida,38i3sekc8l863cpp627ba2ism1.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Noite - patrulha / A sombra devoradora da cidade,2or0ngarkp1hmuftk96s6hfepd.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Xadrez,2dgm4tc1tkqlt8bu4qlo5du9u8.epk_dec,,Não Checado,HF,,,,,,
Dia 12: Volta para casa ~ Sono / Vácuo,0hr3flnoka74mlqs2emt2na0mb.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Pesadelo → Acordando,4rfc9i1487n25m6ddt4k5opghi.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Manhã - meu quarto / Infiltração do Assassin,7mlbb7de1j44h6vgsc17318v1g.epk_dec,,Não Checado,HF,,,,,,
Dia 13: ~ Residência Matou / Confrontando Zouken ~ A verdadeira identidade da Sombra,5khjue0ip4njc9p0gqt6m0ej05.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Almoço ~ Jantar / Show de horror,0rsedbb2nqc2q0jrfgds3ukgpi.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Noite / Hora de decidir,3gd75i7c2ti18leicm44eglilq.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Noite / Hora de decidir,5eeqocujdp6bv4bgkorjbh8dkm.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Final feliz,6tiqad9lbu9r7n8f80oiain019.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Noite / Ária bela,7pe5nmnnngrifsikm9jvbi698l.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Volta para casa ~ Manhã / Sakura sumiu ~ Encontrada,4te38t1h4973kgv53pnv4ec1bi.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Manhã / Cuidando da Sakura,596qc2vtm0jaoiojab80fg5p08.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Manhã - sala de estar / Crepúsculo distante (II),7bjfaambhfkgmklnlpoarqmge7.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Miséria,4g635tk3fqk8dtoeua7apfa84v.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Volta para casa - porta da frente / Presente,735nlbc5q5nh4spro517ai8bat.epk_dec,,Não Checado,HF,,,,,,
Dia 13: Tarde - quarto da Sakura / Quando a primavera chegar,41bepbevd861pilrdsa2knjiqr.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Sakura Matou (IV),4150alo9e7fi8i7eccb2911cv0.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 34,0a5ke8hlsh37k6prc4qt8o06v1.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 35,0a5ke8hlsh37k6prc4qt8o06v1.epk_dec,,Não Checado,HF,,,,,,
Dia 14: Acordando ~ Para a igreja / Tênue esperança,7pvmjs3jvkjq9eocq0d5pee2qo.epk_dec,,Não Checado,HF,,,,,,
Dia 14: Volta para casa ~ Busca ~ Para a residência Matou / Mistério do assassinato Matou,2ahi3cubthrr1larh11q53p9jp.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Tolo,2u6mdf40tm1sj72o40u71ocej0.epk_dec,,Não Checado,HF,,,,,,
Dia 14: Residência Matou - Quarto da Sakura / Decisão,310hgs9f8tjt3palhimk340mk0.epk_dec,,Não Checado,HF,,,,,,
Ação / Melhor,6ic0q25pf8rg4be77qkutp3c77.epk_dec,,Não Checado,HF,,,,,,
Ação / Pior,79pi7ap3c4mjdi8sa54qd5um63.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Sakuralégio ~ Irmãs (VI),244s0os0svgpueieu4ole06lkm.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Lixo,5gqp0o00m7memmif2cmf380v7b.epk_dec,,Não Checado,HF,,,,,,
Dia 14: Igreja / O que espreita no Santo Graal,0r39at0thilbasdg9343d66hk5.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Última peça,2s2hbeoujae7p94heq6lt0g3vd.epk_dec,,Não Checado,HF,,,,,,
Dia 14: Final,18lj7rn9tbshkpcljuq0u1knd1.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Reprise do final,51s78prfmdgbnfe7sojkvkvd77.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Igreja ~ Fora da igreja / Continuar a batalha. A ajuda do Kotomine,2adlbsr8ene6ic9t56nm6s1b1h.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Fim mortal,7e77g3bthck54m5l8maq9hjlvu.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Castelo Einzbern / Pena de morte,73cf6gos0g79j7dr6sl4497t0s.epk_dec,,Não Checado,HF,,,,,,
Castelo Einzbern / Illya encontrada,4kjilpovln0vqk50bkvl9sbs4e.epk_dec,,Não Checado,HF,,,,,,
Ação / Emoção,1tqi62ulr7bvj211ba5hm2gpv1.epk_dec,,Não Checado,HF,,,,,,
Ação / Emoção,256irc3oi5odd4aniupg1urrho.epk_dec,,Não Checado,HF,,,,,,
Ação / Emoção,1u3k1ma79eee3982f52vhn4ss5.epk_dec,,Não Checado,HF,,,,,,
Iniciando a fuga ~ Para a floresta / Epílogo,35h8caes22o3jb6qtc2vka33ee.epk_dec,,Não Checado,HF,,,,,,
Lutando na floresta - parte 1 / Sobrecarga,72gacskuutrq3vaefe32vlcglv.epk_dec,,Não Checado,HF,,,,,,
Lutando na floresta - parte 2 / Nine Bullet Revolver,6ulvus440bc5glfgev3psabfef.epk_dec,Cão,Revisado,HF,,,,,,
Dia 15: Floresta Einzbern / Morte de uma santa,05ha6pp4v607a4utl2lqstb97c.epk_dec,,Não Checado,HF,,,,,,
"Dia 15: Volta para casa ~ Sala de estar da residência Emiya / Verdade ~ Angra Mainyu, Anti-Herói",7ns1gmvb1trs4h65bdulvi1bia.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Preparativos para a batalha final / Confronto com a Rider,2o8e4otop9grbag2mbsadqhq1l.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Noite / Rider parte,5mpuje6iavaub8q0gump2bi82j.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Noite / Rider parte,76prlma2la86l81b72aut6goep.epk_dec,,Não Checado,HF,,,,,,
Decisão / A pergunta da Rider,62812qk0040dihpubp6ega0t1l.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Noite / Rider parte,7tt9kthh48esh5qb4d5tgnouta.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Noite / Rider parte,2fe1a3rc2g783hoth6cma5d5ec.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Preparativos para a batalha final / Táticas,3oa4s98j1o6rbsljpksnt7asmb.epk_dec,,Não Checado,HF,,,,,,
Dia 16: VS Saber / Sparks Liner High,7gu4j23fn1v2r3q68nl0nsgh9o.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Para a floresta / Dupla,0fab8a07ivo87260lkv0gtifmp.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Ascensão das profundezas,1lc4tjm6g243fjnfrb28g38pv8.epk_dec,,Não Checado,HF,,,,,,
Dia 15: A sombra da Sakura / Separação,54uurpgs4i85arutmktnpjdc60.epk_dec,,Não Checado,HF,,,,,,
Dia 15: Noite - galpão / Registro do Graal Maior,094dsld8iairhd6ugabnj0i5fr.epk_dec,,Não Checado,HF,,,,,,
"Dia 15: Noite / Adeus, e obrigado",0l8i4p5661muad1vmh2aei49r3.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 36,4g7ul9m9gr1kifcmic55f1v4un.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 37,2s945mmdqo2sidivm27gint59e.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 38,1sle1g10c9i2bqi6rfb5r7h2ef.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / O fim de Zouken,5hl7pil247fde80u13f78vfhd7.epk_dec,,Não Checado,HF,,,,,,
VS Saber / Explosão,2iie4b8rqldv513aasin30iv8c.epk_dec,,Não Checado,HF,,,,,,
Dia Final: Caverna no meio do caminho / Misericórdia,69uo69jiqs51j5fljedqoj3ca6.epk_dec,,Não Checado,HF,,,,,,
"VS Saber / Explosão, fim",3pnuu4l078ams44sd25ph6vp92.epk_dec,,Não Checado,HF,,,,,,
VS Saber / Trem Maluco II,3uodnv8lt0k38gnd9idh3ldos9.epk_dec,,Não Checado,HF,,,,,,
Juramento/,72jok5geuos807o21bir1fsab0.epk_dec,,Não Checado,HF,,,,,,
...Vou te esquecer,100p64ggdf249mpeis2kmjdrij.epk_dec,,Não Checado,HF,,,,,,
Dia Final: Caverna / Femme Fatale,444bktcpj3jhgchhh6bagktsel.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Para Angra Mainyu,1k04inbp93481i9f7cuckajnkt.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Conclusão,74ruki82a9n4im8knjedcefrs9.epk_dec,,Não Checado,HF,,,,,,
Última Projeção,4nie54uolkcqik9o7mmnomhdet.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Todo o Mal do Mundo,4sk4illkco29uqkil1hf98r9m2.epk_dec,Cão,Revisado,HF,,,,,,
Conclusão / Conclusão,7p3kv5htqln9dsmpinat83af1u.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Fim de um milagre,2uafb8m8ca7ljie7nm3t130aql.epk_dec,,Não Checado,HF,,,,,,
Dia Final / Para a caverna subterrânea,4967b104glcntgnl597968p54b.epk_dec,,Não Checado,HF,,,,,,
Dia Final: Caverna central / O Servo mais forte,26i9ns0bilfcc2dqrl5h26b8oi.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / O reino da rainha negra,0mfafubjq7mmk6tji4u50aujm8.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Espada de Joias Zelretch,6lsh60vbjgpv6864d22hhn9g8o.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / Irmãs (VII),423vqf49mdl3nm6ldc66qm45i1.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Para a caverna,077076v8rd17o0gcdhevv9cp84.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Liberação,3hgpf86lm6uri4nuu6hdvaf5ef.epk_dec,,Não Checado,HF,,,,,,
Interlúdio / O fim de um desejo acalentado,7pq98ft69tad4eqj4ht1fqp6ms.epk_dec,,Não Checado,HF,,,,,,
Conclusão / Todo o bem desta vida,4c7bg91l7g5289tdct9gcmv02d.epk_dec,,Não Checado,HF,,,,,,
Tiger Dojo 39,0kgfqv7fet5m8h6o04u3tobto3.epk_dec,Cão,Revisando,HF,,,,,,
Tiger Dojo 40,374atji3uan986mvnddq3gcenf.epk_dec,Cão,Revisando,HF,,,,,,
Decisão,374atji3uan986mvnddq3gcenf.epk_dec,Cão,Revisando,HF,,,,,,
Heaven's Feel / Normal End,3tupv26rfea6h3pq245bdgk6mj.epk_dec,Cão,Revisando,HF,,,,,,
Heaven's Feel / True End,4q7e092jqnl0lqq89b74ee8aa6.epk_dec,,Não Checado,HF,,,,,,
Especial Tiger Dojo,6qfh9qh6b213duschvmc1kbh12.epk_dec,daiso / cão,Revisando,HF,,,,,,
Last Episode,0ld9fdptdcpka88uuhc2t0ioa1.epk_dec,Cão,Revisado,HF,,,,,,
Especial Tiger Dojo (sub),32k8vmbj48jvq0qvt1r4tmv9av.epk_dec,Cão,Revisado,HF,,,,,,
